name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Kylin Hill,RB,,398,,,398.0
James O'Shaughnessy,TE,,399,,,399.0
Jalen Hurd,WR,,400,,,400.0
Jordan Love,QB,,401,,,401.0
Colin Kaepernick,QB,,402,,,402.0
Johnny Manziel,QB,,403,,,403.0
Ray Rice,RB,,404,,,404.0
Greg Ward,WR,,405,,,405.0
Easop Winston Jr.,WR,,406,,,406.0
Adrian Peterson,RB,,407,,,407.0
Dazz Newsome,WR,,408,,,408.0
Aldrick Rosas,K,,409,,,409.0
Devin Smith,WR,,410,,,410.0
Jermar Jefferson,RB,,411,,,411.0
Albert Okwuegbunam,TE,,412,,,412.0
Riley Ridley,WR,,413,,,413.0
Will Dissly,TE,,414,,,414.0
Corey Clement,RB,,415,,,415.0
Jody Fortson,WR,,416,,,416.0
Zay Jones,WR,,417,,,417.0
Tom Kennedy,WR,,418,,,418.0
Matthew Wright,K,,419,,,419.0
Andy Isabella,WR,,420,,,420.0
DeeJay Dallas,RB,,421,,,421.0
Tyler Conklin,TE,,422,,,422.0
Greg Joseph,K,,423,,,423.0
Ryan Santoso,K,,424,,,424.0
Trent Sherfield,WR,,425,,,425.0
Gerrid Doaks,RB,,426,,,426.0
Tony Romo,QB,,427,,,427.0
Devin Duvernay,WR,,428,,,428.0
Chad Beebe,WR,,429,,,429.0
Kylen Granson,TE,,430,,,430.0
Charlie Woerner,TE,,431,,,431.0
Cincinnati Bengals,DST,,432,,,432.0
Demetric Felton,WR,,433,,,433.0
Simi Fehoko,WR,,434,,,434.0
Dezmon Patmon,WR,,435,,,435.0
Khalil Herbert,RB,,436,,,436.0
Taylor Heinicke,QB,,437,,,437.0
Brandon Dillon,TE,,438,,,438.0
Noah Gray,TE,,439,,,439.0
Davis Mills,QB,,440,,,440.0
Quinn Nordin,K,,441,,,441.0
Eddy Pineiro,K,,442,,,442.0
Rodney Adams,WR,,443,,,443.0
Corey Acosta,K,,444,,,444.0
Kyle Juszczyk,RB,,445,,,445.0
Jesper Horsted,TE,,446,,,446.0
Kyle Rudolph,TE,,447,,,447.0
Chad Henne,QB,,448,,,448.0
Mike Glennon,QB,,449,,,449.0
Rex Burkhead,RB,,450,,,450.0
Willie Snead IV,WR,,451,,,451.0
Drew Sample,TE,,452,,,452.0
Joe Flacco,QB,,453,,,453.0
Jacoby Brissett,QB,,454,,,454.0
Cornell Powell,WR,,455,,,455.0
Harrison Bryant,TE,,456,,,456.0
Gardner Minshew II,QB,,457,,,457.0
Jacob Hollister,TE,,458,,,458.0
