player,position,injury_date,games_missed,body_part,site,condition
Tyler Conklin,TE,2019-09-06,1,Chest,Rib,Sprain\/Pull Unspecified
Hunter Henry,TE,2019-09-08,4,Leg,Tibial Plateau,Fracture
Tyreek Hill,WR,2019-09-08,4,Chest,Sternum,Fracture
Sterling Shepard,WR,2019-09-08,1,Head,Cranial,Concussion
Sam Darnold,QB,2019-09-12,3,Cervical,Throat,Mononucleosis
Dallas Goedert,TE,2019-09-15,1,Leg,Calf,Strain
David Njoku,TE,2019-09-15,10,Hand,Wrist,Fracture
Tyler Higbee,TE,2019-09-15,1,Chest,Lung,Bruise
Devin Singletary,RB,2019-09-15,3,Thigh,Hamstring,Strain
David Njoku,TE,2019-09-16,3,Head,Cranial,Concussion
Saquon Barkley,RB,2019-09-22,3,Pedal,Ankle,Sprain
Davante Adams,WR,2019-09-26,4,Pedal,Toe,Sprain
Terry McLaurin,WR,2019-09-26,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Josh Allen,QB,2019-09-29,0,Head,Cranial,Concussion
T.J. Hockenson,TE,2019-09-29,0,Head,Cranial,Concussion
Christian Kirk,WR,2019-09-29,3,Pedal,Ankle,Sprain\/Pull Unspecified
Evan Engram,TE,2019-10-06,1,Knee,MCL,Pull
Marquise Brown,WR,2019-10-06,2,Pedal,Ankle,Sprain\/Pull Unspecified
Sterling Shepard,WR,2019-10-06,5,Head,Cranial,Concussion
Deebo Samuel,WR,2019-10-13,1,Inguinal,Groin,Strain
Will Dissly,TE,2019-10-13,12,Pedal,Achilles,Tear
Alvin Kamara,RB,2019-10-15,2,Pedal,Ankle,Sprain\/Pull Unspecified
Alvin Kamara,RB,2019-10-16,2,Knee,PCL,Sprain
Marquez Valdes-Scantling,WR,2019-10-16,0,Pedal,Ankle,Sprain\/Pull Unspecified
Marquez Valdes-Scantling,WR,2019-10-16,0,Knee,Unspecified,Strain
Patrick Mahomes,QB,2019-10-17,2,Knee,Patella,Dislocation
Tua Tagovailoa,QB,2019-10-19,1,Pedal,Ankle (high),Sprain
Keenan Allen,WR,2019-10-24,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Odell Beckham Jr.,WR,2019-10-27,0,Inguinal,Groin,Sports Hernia
James Conner,RB,2019-10-28,5,Shoulder,A\/C Joint,Sprain
George Kittle,TE,2019-10-31,2,Knee,Patella,Sprain
Matthew Stafford,QB,2019-11-03,8,Back,Tailbone,Fracture
Evan Engram,TE,2019-11-04,6,Pedal,Foot,Sprain
Austin Hooper,TE,2019-11-10,3,Knee,MCL,Sprain
Drew Sample,TE,2019-11-10,7,Pedal,Ankle (high),Sprain
JuJu Smith-Schuster,WR,2019-11-14,1,Head,Cranial,Concussion
JuJu Smith-Schuster,WR,2019-11-14,4,Knee,Patella,Sprain
Tua Tagovailoa,QB,2019-11-16,3,Head,Cranial,Concussion
Josh Oliver,TE,2019-11-17,6,Back,Tailbone,Fracture
Mo Alie-Cox,TE,2019-11-17,0,Hand,Thumb,Sprain
Hunter Renfrow,WR,2019-11-24,3,Chest,Rib,Fracture
Tony Pollard,RB,2019-11-28,1,Pedal,Ankle,Sprain\/Pull Unspecified
T.J. Hockenson,TE,2019-11-28,4,Pedal,Ankle,Sprain
Daniel Jones,QB,2019-12-01,2,Pedal,Ankle (high),Sprain
Josh Jacobs,RB,2019-12-04,3,Shoulder,Clavicle,Fracture
Mike Evans,WR,2019-12-08,3,Thigh,Hamstring,Sprain\/Pull Unspecified
Calvin Ridley,WR,2019-12-08,3,Abdomen,Muscle,Strain
Noah Fant,TE,2019-12-08,0,Pedal,Foot,Bruise
Alexander Mattison,RB,2019-12-11,3,Pedal,Ankle,Sprain
Dak Prescott,QB,2019-12-15,0,Shoulder,Unspecified,Unspecified
Chris Godwin,WR,2019-12-15,2,Thigh,Hamstring,Strain
Noah Fant,TE,2019-12-15,0,Shoulder,Unspecified,Unspecified
Derrick Henry,RB,2019-12-18,1,Thigh,Hamstring,Strain
Kyler Murray,QB,2019-12-22,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Terry McLaurin,WR,2019-12-22,1,Head,Cranial,Concussion
D.J. Moore,WR,2019-12-22,1,Head,Cranial,Concussion
James Conner,RB,2019-12-22,1,Leg,Quad,Strain
Deshaun Watson,QB,2019-12-25,0,Back,Lower Lumbar,Sprain
Mark Andrews,TE,2019-12-26,1,Pedal,Ankle,Sprain\/Pull Unspecified
Darren Waller,TE,2019-12-30,0,Hand,Thumb,Fracture
Miles Sanders,RB,2020-01-05,0,Knee,MCL,Sprain
Tyler Conklin,TE,2020-01-05,0,Knee,Unspecified,Strain
Travis Kelce,TE,2020-01-08,0,Knee,Unspecified,Strain
Marquise Brown,WR,2020-02-25,0,Pedal,Lisfranc,Fracture
Deebo Samuel,WR,2020-06-16,3,Pedal,Foot,Fracture
DeAndre Hopkins,WR,2020-08-16,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Josh Oliver,TE,2020-08-16,16,Pedal,Foot,Fracture
Dallas Goedert,TE,2020-08-19,0,Hand,Thumb,Fracture
Miles Sanders,RB,2020-08-19,1,Thigh,Hamstring,Strain
Tyreek Hill,WR,2020-08-20,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Brandon Aiyuk,WR,2020-08-23,1,Thigh,Hamstring,Strain
David Montgomery,RB,2020-08-26,0,Inguinal,Groin,Strain
George Kittle,TE,2020-08-27,0,Thigh,Hamstring,Strain
Marcus Mariota,QB,2020-08-27,5,Chest,Pectoral,Strain
Mike Evans,WR,2020-09-09,0,Thigh,Hamstring,Strain
Justice Hill,RB,2020-09-09,2,Thigh,Glute,Strain
Courtland Sutton,WR,2020-09-10,1,Shoulder,A\/C Joint,Sprain
Chris Godwin,WR,2020-09-13,1,Head,Cranial,Concussion
George Kittle,TE,2020-09-13,2,Knee,MCL,Sprain
